WARNING 2024-09-25 10:45:28,967 log log.py 241 log_response Method Not Allowed: /api/items/
WARNING 2024-09-25 10:46:31,670 log log.py 241 log_response Bad Request: /api/items/
WARNING 2024-09-25 10:47:26,505 log log.py 241 log_response Bad Request: /api/items/
WARNING 2024-09-25 11:19:28,052 log log.py 241 log_response Unauthorized: /api/items/3/
WARNING 2024-09-25 11:34:01,735 log log.py 241 log_response Unauthorized: /api/items/
WARNING 2024-09-25 11:34:01,735 log log.py 241 log_response Unauthorized: /api/items/
WARNING 2024-09-25 11:34:01,748 log log.py 241 log_response Unauthorized: /api/token/refresh/
WARNING 2024-09-25 11:34:01,748 log log.py 241 log_response Unauthorized: /api/token/refresh/
WARNING 2024-09-25 11:36:29,639 log log.py 241 log_response Method Not Allowed: /api/items/
WARNING 2024-09-25 11:36:29,691 log log.py 241 log_response Method Not Allowed: /api/items/
WARNING 2024-09-25 11:36:31,712 log log.py 241 log_response Method Not Allowed: /api/items/
WARNING 2024-09-25 11:36:31,762 log log.py 241 log_response Method Not Allowed: /api/items/
WARNING 2024-09-25 11:36:36,713 log log.py 241 log_response Method Not Allowed: /api/items/
WARNING 2024-09-25 11:36:36,765 log log.py 241 log_response Method Not Allowed: /api/items/
WARNING 2024-09-25 11:36:37,669 log log.py 241 log_response Method Not Allowed: /api/items/
WARNING 2024-09-25 11:36:37,717 log log.py 241 log_response Method Not Allowed: /api/items/
WARNING 2024-09-25 11:36:50,454 log log.py 241 log_response Method Not Allowed: /api/items/
WARNING 2024-09-25 11:36:50,504 log log.py 241 log_response Method Not Allowed: /api/items/
WARNING 2024-09-25 11:36:52,425 log log.py 241 log_response Method Not Allowed: /api/items/
WARNING 2024-09-25 11:36:52,485 log log.py 241 log_response Method Not Allowed: /api/items/
WARNING 2024-09-25 11:36:55,340 log log.py 241 log_response Method Not Allowed: /api/items/
WARNING 2024-09-25 11:36:55,427 log log.py 241 log_response Method Not Allowed: /api/items/
WARNING 2024-09-25 11:45:37,437 log log.py 241 log_response Unauthorized: /api/items/get
WARNING 2024-09-25 11:45:37,447 log log.py 241 log_response Unauthorized: /api/token/refresh/
WARNING 2024-09-25 11:52:28,402 log log.py 241 log_response Unauthorized: /api/items/3/
WARNING 2024-09-25 11:52:32,978 log log.py 241 log_response Unauthorized: /api/items/get
WARNING 2024-09-25 11:52:32,987 log log.py 241 log_response Unauthorized: /api/items/get
WARNING 2024-09-25 11:52:33,064 log log.py 241 log_response Unauthorized: /api/token/refresh/
WARNING 2024-09-25 11:52:33,072 log log.py 241 log_response Unauthorized: /api/token/refresh/
WARNING 2024-09-25 11:55:44,917 log log.py 241 log_response Unauthorized: /api/items/get
WARNING 2024-09-25 11:55:44,924 log log.py 241 log_response Unauthorized: /api/items/get
WARNING 2024-09-25 11:55:44,934 log log.py 241 log_response Unauthorized: /api/token/refresh/
WARNING 2024-09-25 11:55:44,948 log log.py 241 log_response Unauthorized: /api/token/refresh/
WARNING 2024-09-25 11:58:23,703 log log.py 241 log_response Unauthorized: /api/items/get
WARNING 2024-09-25 11:58:23,707 log log.py 241 log_response Unauthorized: /api/items/get
WARNING 2024-09-25 11:58:23,727 log log.py 241 log_response Unauthorized: /api/token/refresh/
WARNING 2024-09-25 11:58:23,731 log log.py 241 log_response Unauthorized: /api/token/refresh/
WARNING 2024-09-25 12:00:46,207 log log.py 241 log_response Unauthorized: /api/items/get
